submission_id,age,alt_description,block1,block2,comments,condition,context,education,expect_ans,expect_event,experiment,experiment_duration,experiment_end_time,experiment_start_time,feedback,gender,key,languages,light,option1,option2,pA,pB,pos,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,structure,time
3875,54,NA,false,true,,video,NA,Graduated High-school,NA,NA,practice,1348145,1657721276123,1657719927978,NA,male,0,British,70,NA,NA,0.8,0.2,Atop_Etop,5d826545e3ab4b00183cd4e5,62cec946ac0c8bbd93dda0a2,62c7c0c4e7f0a6e98edc0c6d,NA,39250,single,320
3875,54,NA,false,true,,video,NA,Graduated High-school,NA,NA,practice,1348145,1657721276123,1657719927978,NA,male,1,British,20,NA,NA,0.8,0.2,Atop_Etop,5d826545e3ab4b00183cd4e5,62cec946ac0c8bbd93dda0a2,62c7c0c4e7f0a6e98edc0c6d,NA,91021,single,320
3875,54,NA,false,false,,picture,NA,Graduated High-school,<span style='color:#3EA333;font-weight:bold'>Ball A</span> is the initially moving ball.,NA,practice,1348145,1657721276123,1657719927978,"Wrong. There is an arrow under <span style='color:#3EA333;font-weight:bold'>Ball A</span>, so it is the initially moving ball.",male,0,British,NA,<span style='color:#3EA333;font-weight:bold'>Ball A</span> is the initially moving ball.,<span style='color:#2662E0;font-weight:bold'>Ball B</span> is the initially moving ball.,0.8,0.8,Aright,5d826545e3ab4b00183cd4e5,62cec946ac0c8bbd93dda0a2,62c7c0c4e7f0a6e98edc0c6d,<span style='color:#3EA333;font-weight:bold'>Ball A</span> is the initially moving ball.,27149,chain,320
3875,54,NA,false,false,,video,NA,Graduated High-school,<span style='color:#2662E0;font-weight:bold'>Ball B</span> hit Ball E.,NA,practice,1348145,1657721276123,1657719927978,Wrong. <span style='color:#3EA333;font-weight:bold'>Ball A</span> is not the initially moving ball.,male,1,British,NA,<span style='color:#3EA333;font-weight:bold'>Ball A</span> hit Ball E.,<span style='color:#2662E0;font-weight:bold'>Ball B</span> hit Ball E.,0.8,0.8,Aleft_Etop,5d826545e3ab4b00183cd4e5,62cec946ac0c8bbd93dda0a2,62c7c0c4e7f0a6e98edc0c6d,<span style='color:#2662E0;font-weight:bold'>Ball B</span> hit Ball E.,45796,common_single,320
3875,54,NA,false,false,,picture,NA,Graduated High-school,<span style='color:#2662E0;font-weight:bold'>Ball B</span> can hit Ball E.,NA,practice,1348145,1657721276123,1657719927978,Wrong. Ball E is in the way of <span style='color:#2662E0;font-weight:bold'>Ball B</span>.,male,2,British,NA,<span style='color:#3EA333;font-weight:bold'>Ball A</span> can hit Ball E.,<span style='color:#2662E0;font-weight:bold'>Ball B</span> can hit Ball E.,0.2,0.8,Abottom_Etop,5d826545e3ab4b00183cd4e5,62cec946ac0c8bbd93dda0a2,62c7c0c4e7f0a6e98edc0c6d,<span style='color:#2662E0;font-weight:bold'>Ball B</span> can hit Ball E.,22341,single,320
3875,54,NA,false,false,,picture,NA,Graduated High-school,<span style='color:#2662E0;font-weight:bold'>Ball B</span> is more likely to pass through the block than <span style='color:#3EA333;font-weight:bold'>Ball A</span>.,NA,practice,1348145,1657721276123,1657719927978,Wrong. The darker red block (more likely to block) is in the way of <span style='color:#3EA333;font-weight:bold'>Ball A</span>.,male,3,British,NA,<span style='color:#3EA333;font-weight:bold'>Ball A</span> is more likely to pass through the block than <span style='color:#2662E0;font-weight:bold'>Ball B</span>.,<span style='color:#2662E0;font-weight:bold'>Ball B</span> is more likely to pass through the block than <span style='color:#3EA333;font-weight:bold'>Ball A</span>.,0.2,0.8,Abottom,5d826545e3ab4b00183cd4e5,62cec946ac0c8bbd93dda0a2,62c7c0c4e7f0a6e98edc0c6d,<span style='color:#2662E0;font-weight:bold'>Ball B</span> is more likely to pass through the block than <span style='color:#3EA333;font-weight:bold'>Ball A</span>.,27914,conjunctive,320
3875,54,NA,true,false,,video,NA,Graduated High-school,"If <span style='color:#3EA333;font-weight:bold'>Ball A</span> had passed through its block, Ball E <b>would have</b> gone through the gate.",NA,practice,1348145,1657721276123,1657719927978,"Wrong. In this situation, if both A and B hit Ball E it passes through the gate.",male,4,British,NA,"If <span style='color:#3EA333;font-weight:bold'>Ball A</span> had passed through its block, Ball E <b>would have</b> gone through the gate.","If <span style='color:#3EA333;font-weight:bold'>Ball A</span> had passed through its block, Ball E <b>would not have</b> gone through the gate.",0.2,0.8,Atop,5d826545e3ab4b00183cd4e5,62cec946ac0c8bbd93dda0a2,62c7c0c4e7f0a6e98edc0c6d,"If <span style='color:#3EA333;font-weight:bold'>Ball A</span> had passed through its block, Ball E <b>would have</b> gone through the gate.",54229,conjunctive,320
3875,54,NA,false,false,,video,NA,Graduated High-school,"If <span style='color:#3EA333;font-weight:bold'>Ball A</span> had not passed through its block, Ball E <b>would still have</b> gone through the gate.",NA,practice,1348145,1657721276123,1657719927978,"Wrong. In this situation, only one ball is necessary to let Ball E pass through the gate.",male,5,British,NA,"If <span style='color:#3EA333;font-weight:bold'>Ball A</span> had not passed through its block, Ball E <b>would not have</b> gone through the gate.","If <span style='color:#3EA333;font-weight:bold'>Ball A</span> had not passed through its block, Ball E <b>would still have</b> gone through the gate.",0.2,0.8,Abottom,5d826545e3ab4b00183cd4e5,62cec946ac0c8bbd93dda0a2,62c7c0c4e7f0a6e98edc0c6d,"If <span style='color:#3EA333;font-weight:bold'>Ball A</span> had not passed through its block, Ball E <b>would still have</b> gone through the gate.",57956,disjunctive,320
3875,54,NA,false,false,,picture,NA,Graduated High-school,<span style='color:#2662E0;font-weight:bold'>Ball B</span> is more likely to pass through the block than <span style='color:#3EA333;font-weight:bold'>Ball A</span>.,NA,practice,1348145,1657721276123,1657719927978,Wrong. The darker red block (more likely to block) is in the way of <span style='color:#3EA333;font-weight:bold'>Ball A</span>.,male,6,British,NA,<span style='color:#3EA333;font-weight:bold'>Ball A</span> is more likely to pass through the block than <span style='color:#2662E0;font-weight:bold'>Ball B</span>.,<span style='color:#2662E0;font-weight:bold'>Ball B</span> is more likely to pass through the block than <span style='color:#3EA333;font-weight:bold'>Ball A</span>.,0.2,0.8,Atop,5d826545e3ab4b00183cd4e5,62cec946ac0c8bbd93dda0a2,62c7c0c4e7f0a6e98edc0c6d,<span style='color:#3EA333;font-weight:bold'>Ball A</span> is more likely to pass through the block than <span style='color:#2662E0;font-weight:bold'>Ball B</span>.,27601,disjunctive,320
3875,54,NA,false,true,,video,NA,Graduated High-school,<span style='color:#3EA333;font-weight:bold'>Ball A</span> hit <span style='color:#2662E0;font-weight:bold'>Ball B</span>.,NA,practice,1348145,1657721276123,1657719927978,"Wrong. <span style='color:#3EA333;font-weight:bold'>Ball A</span> hit <span style='color:#2662E0;font-weight:bold'>Ball B</span>, but <span style='color:#2662E0;font-weight:bold'>Ball B</span> was blocked.",male,7,British,NA,<span style='color:#3EA333;font-weight:bold'>Ball A</span> hit <span style='color:#2662E0;font-weight:bold'>Ball B</span>.,<span style='color:#2662E0;font-weight:bold'>Ball B</span> passed through the gate.,0.8,0.2,Aright_Ebot,5d826545e3ab4b00183cd4e5,62cec946ac0c8bbd93dda0a2,62c7c0c4e7f0a6e98edc0c6d,<span style='color:#3EA333;font-weight:bold'>Ball A</span> hit <span style='color:#2662E0;font-weight:bold'>Ball B</span>.,58815,common_both,320
